商品ID,标题,描述,品牌,类目,价格,销量,转发量,库存
100042,宠物零食鸡肉干,低温烘焙无添加磨牙洁齿耐咬,PawFresh,宠物用品,35.0,28800,3500,5800
100043,折叠晾衣架落地,加粗不锈钢承重强防风稳固,HomeMaster,家居日用,89.0,16200,1900,0
100044,智能窗帘电机,静音轨道遥控语音定时开合,SmartShade,智能家居,399.0,4700,360,22
100045,儿童保温饭盒,316不锈钢分格防漏微波可用安全材质,KidsSafe,母婴玩具,79.0,21500,2600,48
100046,运动腰包贴身隐形,弹力面料大容量钥匙手机分装,ActiveGear,运动服饰,45.0,26600,3100,0
100047,空气净化器除甲醛,HEPA滤网负离子除菌低噪睡眠模式,ClearAir,家用电器,899.0,7100,820,135
100048,男士速干POLO衫,抗皱免烫透气排汗商务休闲两穿,FitPro,服饰鞋包,129.0,14800,1150,0
100049,智能摄像头云台版,360度旋转AI人形追踪双向语音,ViewGuard,智能家居,149.0,19200,2300,410
100050,儿童磁性画板,无尘涂鸦可擦写早教启蒙益智,BrainyKids,母婴玩具,59.0,23500,2800,0
100051,无线耳机半入耳,低延迟通话降噪续航持久,SoundWave,数码配件,199.0,15500,1950,1020
100052,不锈钢焖烧罐,304食品级内胆真空锁温长效保温,HydroSmart,厨房用具,89.0,13800,1050,0
100053,宠物狗窝可拆洗,四季通用记忆棉填充防滑底部易清洁,PetJoy,宠物用品,119.0,10800,1200,176
100054,智能体重秤体脂,生物电阻抗精准测量数据云同步,ScalePro,智能穿戴,129.0,17800,2150,0
100055,儿童雨衣书包位,环保EVA无异味大帽檐安全反光条,SunGuard,母婴玩具,49.0,20500,2300,42
100056,运动水壶大容量,TRITAN材质防漏刻度显示便携提手,FitZone,运动服饰,69.0,24500,2850,1300
100057,智能插座定时开关,过载保护远程APP控制语音联动,SmartLife,智能家居,49.0,27800,3250,0
100058,女士真丝围巾,桑蚕丝印花亲肤柔软百搭显气质,SilkDream,服饰鞋包,159.0,9500,820,74
100059,儿童电动牙刷软毛,温和清洁培养刷牙习惯定时提醒,KidsCare,个护健康,69.0,20200,2450,0
100060,无线投屏器4K,即插即用手机电脑同屏办公会议神器,TechPro,数码配件,129.0,12500,1450,250
100061,不锈钢切菜板,防霉抗菌双面使用易清洗不伤刀面,ChefPro,厨房用具,79.0,17800,2150,0
100062,智能猫砂盆全自动,自动铲屎除臭杀菌APP远程监控清理,PetJoy,宠物用品,899.0,4300,580,9
100063,儿童学习桌椅套装,可升降调节护脊设计环保材质可调节,StudyPro,家具家装,1299.0,4700,740,0
100064,运动护腕加压款,吸汗防滑透气包裹稳固防扭伤保护,JointCare,运动服饰,35.0,30500,3700,52
100065,智能门铃可视对讲,1080P夜视PIR人体移动侦测云存储,SafeHome,智能家居,259.0,7900,950,0
100066,女士防晒面罩,冰丝凉感全脸防护透气不闷汗可调节,SunGuard,运动服饰,39.0,33200,4100,21
100067,儿童平衡木玩具,实木打磨无毛刺锻炼平衡感协调性,BrainyKids,母婴玩具,89.0,13500,1600,0
100068,儿童智能手表,4G全网通高清视频通话精准定位防丢,KidsWatch,智能穿戴,399.0,16800,2300,58
100069,便携榨汁杯,无线充电一键启动30秒出汁随身带,BlendMini,家用电器,99.0,22500,2650,0
100070,宠物逗猫棒套装,可替换羽毛激光互动消耗精力不拆家,PawFresh,宠物用品,25.0,26800,3150,4100
100071,智能晾衣架电动,升降遥控烘干杀菌承重强静音电机,HomeSmart,智能家居,699.0,6000,540,0
100072,儿童早教机,海量资源智能问答护眼屏幕家长管控模式,EduTech,母婴玩具,199.0,15200,1950,34
100073,运动臂包跑步款,贴合手臂不晃动防水触屏口袋设计,ActiveGear,运动服饰,45.0,21500,2400,0
100074,智能加湿器大容量,超声波雾量可调定时恒湿静音运行,AquaMist,家用电器,129.0,18500,2250,720
100075,女士休闲帆布鞋,轻便透气防滑耐磨百搭日常通勤,ClassicStep,服饰鞋包,89.0,24800,2950,0
100076,智能宠物喂食器,定时定量视频互动防卡粮断电续航提醒,PetJoy,宠物用品,359.0,9600,1250,18
100077,儿童滑板车,重力转向闪光轮可调节高度承重强安全,SpeedKids,母婴玩具,159.0,17500,2100,0
100078,无线键盘鼠标套装,静音按键长续航办公游戏两用舒适,ClickPro,电脑外设,149.0,19200,2350,1200
100079,不锈钢蒸锅三层,加厚复合底电磁炉通用快速导热节能,ChefPro,厨房用具,189.0,10500,950,0
100080,智能体重秤精准,玻璃面板隐藏LED大屏超重提醒数据同步,ScalePro,智能穿戴,79.0,23500,2750,48
100081,儿童防晒衣UPF50,轻薄透气速干面料连帽设计防紫外线,SunGuard,母婴玩具,69.0,26500,3100,0
100082,运动速干毛巾,超细纤维吸水快干抗菌防臭便携收纳,FitZone,运动服饰,29.0,30900,3650,3100
100083,智能窗帘伴侣,无需换轨直接安装语音APP控制定时,SmartShade,智能家居,199.0,7300,720,0
100084,女士真丝眼罩,桑蚕丝遮光助眠透气调节绑带舒适睡眠,SilkDream,个护健康,49.0,21800,2550,36
100085,儿童电子琴,61键力度感应智能教学跟弹模式启蒙早教,EduMusic,母婴玩具,259.0,12500,1550,0
100086,便携充电宝20000,双向快充轻薄机身多口输出兼容性强,PowerMax,数码配件,129.0,25500,3050,2050
100087,不锈钢汤勺漏勺,一体成型加厚手柄防锈易清洗耐用型,ChefPro,厨房用具,39.0,28500,3350,0
100088,智能摄像头户外版,IP65防水夜视全彩移动追踪告警推送,ViewGuard,智能家居,299.0,9200,1150,28
100089,儿童雨靴防滑,天然橡胶无异味高筒设计不磨脚安全反光,SunGuard,母婴玩具,59.0,20500,2400,0
100090,运动腰包防水款,贴身隐形大容量钥匙手机分仓设计,ActiveGear,运动服饰,59.0,18800,2150,195
100091,香薰加湿器,静音雾化定时恒湿精油扩香二合一多功能,AquaMist,家居日用,159.0,15500,1800,0
100092,女士防晒手套,冰丝面料防紫外线触屏设计不闷汗透气,SunGuard,运动服饰,35.0,31500,3700,52
100093,儿童积木轨道车,磁力拼接安全圆角激发空间想象力创造力,BrainyKids,母婴玩具,99.0,16500,1950,0
100094,智能手表运动版,多运动模式GPS轨迹记录血氧监测心率,WatchSync,智能穿戴,699.0,11500,1350,350
100095,便携榨汁机,无线充电一键启动30秒出汁随行杯设计,BlendMini,家用电器,89.0,23500,2750,0
100096,宠物猫爬架,剑麻猫抓柱多层平台带猫窝稳固防滑设计,PetJoy,宠物用品,259.0,8100,1050,74
100097,手动晾衣架,加厚铝合金承重强静音滑轮易安装省空间,HomeSmart,家居日用,299.0,13500,1600,0
100098,儿童早教故事机,海量内容智能语音护眼屏幕家长管控内容安全,EduTech,母婴玩具,149.0,19500,2300,42
100099,运动护膝硅胶款,加压支撑防滑条纹透气排汗运动保护,JointCare,运动服饰,89.0,14500,1650,0
100100,无线门铃,超长续航免布线移动侦测云存储远程提醒,SafeHome,智能家居,159.0,10200,1250,15
